"Experiment","Female","Male","Total","# Groups","Groups"
"GI DREADD - Progressive Ratio",15,15,30,2,"cont (n=16), GI (n=14)"
"GI DREADD - Open Field",10,14,24,2,"cont (n=7), GI (n=17)"
"GI DREADD - Memory",8,9,17,2,"cont (n=7), GI (n=10)"
"GQ DREADD - Progressive Ratio",16,14,30,2,"gfp (n=9), hm3dgq (n=21)"
"GQ DREADD - Probe Test",6,7,13,1,"hm3dgq (n=13)"
"Fiber Photometry - Reward Discrimination",8,10,18,NA,"—"
"Optogenetic - Progressive Ratio",7,6,13,NA,"—"
"Optogenetic - Attention Training",9,6,15,NA,"—"
"Optogenetic - IRT",9,6,15,NA,"—"
"PIT - Pellets Probe",6,9,15,3,"cont_GFP (n=5), pit_GFP (n=5), pit_GI (n=5)"
"PIT - Sound Probe",18,11,29,2,"gfp (n=11), gi (n=18)"
"Stress GQ DREADD - Progressive Ratio",12,9,21,3,"cont (n=7), stress_gfp (n=6), stress_gq (n=8)"
